episode,phase,policy,vessel_idx,vessel_id,estimated_delay_h,realized_delay_h,realized_total_missed,realized_service_cost_usd,realized_ets_cost_eur,vessel_objective_value,vessel_feasible,n_skipped,n_swapped
26,train,spsa,1,V1,42.099030963238384,49.34361251644961,3,124030.0,228266.40776894428,485359.21875,True,4,0
26,train,spsa,2,V2,58.71426979587547,72.06091758127639,3,3000.0,216514.56099861828,595068.90625,True,3,0
26,train,spsa,3,V3,38.70587926183926,51.99235415153265,3,290990.0,234469.90089299562,453660.78125,True,3,0
27,train,spsa,1,V1,53.80778752741833,61.4455841198398,2,150930.0,325167.9132416785,498924.0625,True,2,2
27,train,spsa,2,V2,44.870058499145,40.026268299054635,4,285950.0,332265.3861614109,588657.65625,True,3,0
27,train,spsa,3,V3,22.707727348627166,65.24098839841025,3,290990.0,314191.19189620693,443707.65625,True,3,0
28,train,spsa,1,V1,29.265564933733437,33.43976957450019,2,2000.0,206941.27072883444,464588.90625,True,3,0
28,train,spsa,2,V2,54.51429869373115,25.828401193029336,3,3000.0,206941.27072883444,595068.90625,True,3,0
28,train,spsa,3,V3,60.294152105120276,67.9350996845937,3,199020.0,206941.27072883444,522123.90625,True,3,0
29,train,spsa,1,V1,44.563606369617894,52.63869908222014,3,124030.0,226942.4579372775,485359.21875,True,4,0
29,train,spsa,2,V2,40.967380320293294,52.47937184596644,4,285950.0,233109.9706743871,575610.78125,True,3,0
29,train,spsa,3,V3,49.971847912582994,57.51854415295005,1,1000.0,215258.7721184705,522123.90625,True,3,0
30,train,spsa,1,V1,50.46492632353512,51.030861587622084,2,150930.0,244700.423862049,498924.0625,True,2,2
30,train,spsa,2,V2,42.263003306954104,80.0,4,285950.0,250041.52475510392,588657.65625,True,3,0
30,train,spsa,3,V3,63.69895928255892,52.38438098933598,1,1000.0,223828.79348109945,522123.90625,True,3,0
